HP Fraction,Window U-Value,Window SHGC,Wall R-Value,Glazing Ratio,Cooling kWh-m2,Heating kWh-m2,DHW kWh-m2,Lighting kWh-m2,TEDI kWh-m2,EUI kWh-m2
0.2,0.32,0.31,20,0.45,10.77791534,33.75868975,8.523632,18.70034433,35.32886137,114.2277147
0.2,0.36,0.31,20,0.45,10.59351768,35.51617743,8.523632,18.70034808,37.16809266,115.7879584
0.2,0.28,0.38,20,0.45,12.57616539,31.49836617,8.523632,18.55704759,32.96340645,114.0725913
0.2,0.32,0.38,20,0.45,12.32974375,33.26916685,8.523632,18.54975092,34.81656996,115.5640562
0.2,0.36,0.38,20,0.45,12.12594279,34.98491212,8.523632,18.54975373,36.61211734,117.0585505
0.2,0.28,0.31,6,0.5,11.6653283,38.75846326,8.523632,18.65798912,40.56118248,120.4323776
0.2,0.32,0.31,6,0.5,11.24636449,40.91436384,8.523632,18.63721111,42.8173575,122.0911808
0.2,0.36,0.31,6,0.5,11.06993734,42.93783359,8.523632,18.6372148,44.93494213,123.9413212
0.2,0.28,0.38,6,0.5,13.18816106,38.26770771,8.523632,18.5029531,40.04760109,121.7282196
0.2,0.32,0.38,6,0.5,12.89562799,40.33998732,8.523632,18.49578372,42.2162658,123.4762106
0.2,0.36,0.38,6,0.5,12.69560179,42.33089551,8.523632,18.49578646,44.29977437,125.2659708
0.2,0.28,0.31,13,0.5,11.6418586,34.44558455,8.523632,18.65798912,36.04770476,115.9935606
0.2,0.32,0.31,13,0.5,11.20021939,36.52092399,8.523632,18.63721111,38.21957162,117.5361807
0.2,0.36,0.31,13,0.5,11.00826403,38.48713052,8.523632,18.6372148,40.27722961,119.3003009
0.2,0.28,0.38,13,0.5,13.21144932,33.98626514,8.523632,18.5029531,35.56702166,117.3782917
0.2,0.32,0.38,13,0.5,12.89343437,35.99056048,8.523632,18.49578372,37.66454004,119.0204408
0.2,0.36,0.38,13,0.5,12.67748258,37.91839437,8.523632,18.49578646,39.68204062,120.7202401
0.2,0.28,0.31,20,0.5,11.64630504,32.99322245,8.523632,18.65798912,34.52779093,114.5172958
0.2,0.32,0.31,20,0.5,11.19757242,35.04593811,8.523632,18.63721111,36.67598174,116.0277608
0.2,0.36,0.31,20,0.5,10.99540072,36.98393932,8.523632,18.6372148,38.70412254,117.7479452
0.2,0.28,0.38,20,0.5,13.23139517,32.53255468,8.523632,18.5029531,34.04569675,115.9238809
0.2,0.32,0.38,20,0.5,12.90502331,34.52243037,8.523632,18.49578372,36.12812481,117.5334319
0.2,0.36,0.38,20,0.5,12.67917188,36.44117755,8.523632,18.49578646,38.13611604,119.20963
0.2,0.28,0.31,6,0.55,12.11142485,39.29672559,8.523632,18.60065745,41.12448027,121.5056748
0.2,0.32,0.31,6,0.55,11.64954817,41.66501862,8.523632,18.58017277,43.60292646,123.3318076
0.2,0.36,0.31,6,0.55,11.4524519,43.8783062,8.523632,18.5801761,45.91915765,125.3508956
0.2,0.28,0.38,6,0.55,13.77983671,38.76404089,8.523632,18.45514891,40.56701954,122.9528708
0.2,0.32,0.38,6,0.55,13.44883195,41.03620089,8.523632,18.44815152,42.9448614,124.8607063
0.2,0.36,0.38,6,0.55,13.22676274,43.21667785,8.523632,18.44815389,45.22675589,126.8184807
0.2,0.28,0.31,13,0.55,12.09704883,35.40529724,8.523632,18.60065745,37.05205525,117.5074498
0.2,0.32,0.31,13,0.55,11.6155184,37.69179629,8.523632,18.58017277,39.4449031,119.2177145
0.2,0.36,0.31,13,0.55,11.40136469,39.86371389,8.523632,18.5801761,41.71784012,121.1669729
0.2,0.28,0.38,13,0.55,13.8080473,34.91178455,8.523632,18.45514891,36.53558848,119.0450203
0.2,0.32,0.38,13,0.55,13.45924385,37.10671863,8.523632,18.44815152,38.83261252,120.846364
0.2,0.36,0.38,13,0.55,13.21782891,39.23813482,8.523632,18.44815389,41.06316434,122.7256528
0.2,0.28,0.31,20,0.55,12.10252966,34.08361472,8.523632,18.60065745,35.66889912,116.1633022
0.2,0.32,0.31,20,0.55,11.60998484,36.35373974,8.523632,18.58017277,38.04461136,117.8434173
0.2,0.36,0.31,20,0.55,11.393758,38.49810617,8.523632,18.5801761,40.28871576,119.7596573
0.2,0.28,0.38,20,0.55,13.82773527,33.5969446,8.523632,18.45514891,35.15959319,117.7290084
0.2,0.32,0.38,20,0.55,13.47001026,35.78736883,8.523632,18.44815152,37.45189761,119.5090192
0.2,0.36,0.38,20,0.55,13.22179527,37.89236052,8.523632,18.44815389,39.65479589,121.3516496
0.2,0.28,0.31,6,0.6,12.55600968,39.83596405,8.523632,18.55102132,41.68879958,122.5866121
0.2,0.32,0.31,6,0.6,12.05280613,42.40808784,8.523632,18.53086965,44.38055705,124.5702694
0.2,0.36,0.31,6,0.6,11.83499881,44.81192909,8.523632,18.53087275,46.89620486,126.7617638
0.2,0.28,0.38,6,0.6,14.36271479,39.26067461,8.523632,18.41430453,41.0867525,124.1736272
0.2,0.32,0.38,6,0.6,13.99892537,41.7318668,8.523632,18.4073957,43.67288386,126.2450738
0.2,0.36,0.38,6,0.6,13.75442034,44.09930572,8.523632,18.40739782,46.15043622,128.3698054
0.2,0.28,0.31,13,0.6,12.54894094,36.37050239,8.523632,18.55102132,38.06215366,119.0302304
0.2,0.32,0.31,13,0.6,12.02633538,38.86278721,8.523632,18.53086965,40.67035871,120.9017269
0.2,0.36,0.31,13,0.6,11.79195865,41.24422642,8.523632,18.53087275,43.16256253,123.045067
0.2,0.28,0.38,13,0.6,14.39550886,35.83570673,8.523632,18.41430453,37.50248379,120.7039884
0.2,0.32,0.38,13,0.6,14.01698291,38.2210104,8.523632,18.4073957,39.99873182,122.6665089
0.2,0.36,0.38,13,0.6,13.75067602,40.57259013,8.523632,18.40739782,42.45968734,124.7421334
0.2,0.28,0.31,20,0.6,12.55480133,35.19644213,8.523632,18.55102132,36.83348595,117.8366039
0.2,0.32,0.31,20,0.6,12.02210119,37.66853638,8.523632,18.53086965,39.42056133,119.6763518
0.2,0.36,0.31,20,0.6,11.78357996,40.02678764,8.523632,18.53087275,41.88849869,121.7866119
0.2,0.28,0.38,20,0.6,14.41513076,34.66639825,8.523632,18.41430453,36.27878887,119.5345315
